Job Title,Location,Company,Key Skills
ML Engineer,Remote,Protiviti India,"Docker,Machine Learning,Python,Kubernetes,SQL,Natural Language Processing,Spark,Ml"
Ml Engineer - Docker,Remote,Protiviti India,"Docker,Machine Learning,Python,SQL,Natural Language Processing,Kubernetes,Processing,Languages"
ML Engineer,Bangalore/Bengaluru,Aritha Consulting Services,"algorithms,python,data analysis,natural language processing,neural networks,machine learning,artificial intelligence,sql"
ML Engineer,Bangalore/Bengaluru,Deliverhealth,"Computer science,ASR,Cloud computing,Machine learning,SCALA,Healthcare,Data processing,Natural language processing"
ML Engineer,Bengaluru(Indira Nagar),Healthifyme,"Natural Language Processing,Computer Vision,Deep Learning,Pytorch,Computer,Process,Processing,Vision"
ML Engineer,Bangalore/Bengaluru,Aritha,"PyTorch,Packaging,Programming,Neural Networks,Scikit-learn,Deep Learning,Python,Model Development"
Principal ML Engineer,Bangalore/Bengaluru,"Advanced Micro Devices, Inc","Mahine learning,Open soure,Seletion proess,Debugging,Reruitment,Artifiial Intelligene,Gag,Programg"
Python ML Engineer,Mohali,Linkageit,"Data Science,Engineer,Algorithms,Machine Learning,Modeling,Deep Learning,Python,Science"
Lead - ML Engineer / ML Scientist,Bangalore/Bengaluru,Arting Digital,"Redhat,orchestration,Machine learning,Manager Technology,model development,Deployment,Management,big data"
ML Engineer,Chennai,MPS,"AI,ML,PIL,NLG,LLM,PPA,Artificial Intelligence,NISA"
ML Engineer NLP (Contractual Role),Remote,Protiviti India,"Docker,Natural Language Processing,Big Data,Machine Learning,Kubernetes,SQL,Python,Machine"
ML Engineer,"Pimpri-Chinchwad, Maharashtra, Pune, Maharashtra",Provakil Technologies,"Nltk,Huggingface,Artificial Intelligence,Natural Language Processing,Machine Learning,Generative AI,Spacey,Spacy"
ML Ops Engineer,Bangalore/Bengaluru,Deliverhealth,"Computer science,ASR,Cloud computing,GCP,Machine learning,Healthcare,Troubleshooting,Operations"
Sr. ML Engineer,Gurugram,Unlimit,"Object oriented design,Automation,Data analysis,Backend,MySQL,Machine learning,Data structures,Financial services"
ML Engineer #Restart,"Hybrid - Pune, Maharashtra, Thiruvananthapuram, Kerala",ALLIANZ SERVICES PRIVATE LIMITED,"ML Engineer,MLOPS,Data Science,Data,Ml,Science"
ML Engineer,"Noida, Uttar Pradesh, Pune, Maharashtra",upGrad,"Gen AI,ML,Pytorch,Tensorflow,LLM,Gen,Artificial Intelligence"
ML Ops Engineer,Mumbai,Accrete.AI,"Supply chain,Computer science,Cloud computing,Automation,Machine learning,Firmware,Open source,Information technology"
Sr/Lead ML Engineer,Chennai,One of the Clients of Prodigy Recruitment Consultants,"Computer Vision,LLM,Machine Learning,Deep Learning,OCR,Artificial Intelligence,Natural Language Processing,Vision"
ML Engineer,"Nagpur, Maharashtra",Appynitty Communications,"Deep Learning,ML,Python,Keras,AWS,Scikit-Learn,Numpy,TensorFlow"
ML Engineer,Pune,Keywords Studios,"Computer science,Training,deep learning,Talent acquisition,Machine learning,Computer graphics,Natural language processing,Gaming"
Sr. ML Engineer,Pune,Keywords Studios,"Computer science,deep learning,Prototype,Talent acquisition,Machine learning,Computer graphics,Natural language processing,Open source"
ML Engineer,"Pune, Maharashtra",N-tek Consulting,"Opencv,Natural Language Processing,AWS,Machine Learning,Python,GCP,Ml,Machine"
Sr. ML Engineer,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Ford,"Solution architecture,deep learning,continuous integration,Usage,Version control,Agile development,Machine learning,test driven development"
Senior ML Engineer-HTHD,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Ford,"Computer vision,deep learning,Backend,Image processing,GCP,Machine learning,Agile,Robotics"
Sr. ML Engineer,"Kochi, Kerala",GenNext India Private Limited,"Machine Learning,Devops,Machine,Ml"
ML Engineer,Bangalore/Bengaluru,Useready,"Machine Learning,python,natural language processing,neural networks,jupyter notebook,artificial intelligence,sql,deep learning"
ML Engineer,"Bengaluru, Delhi / NCR",PwC Service Delivery Center,"audio & video editing,Machine Learning,Python,Audio,Editing,Video,Ml,Video editing"
ML Ops Engineer,Mumbai,Blenheim Chalcot,"Computer science,Cloud computing,data science,GCP,Machine learning,Automation tools,Management,Operations"
Sr. ML Engineer,Bangalore/Bengaluru,Beckman Coulter India Pvt Ltd,"Computer science,Computer vision,Cloud computing,Version control,Diagnostics,Machine learning,Algorithm development,Healthcare"
ML Engineer,"Pune, Maharashtra, Thiruvananthapuram, Kerala",ALLIANZ SERVICES PRIVATE LIMITED,"Azure Cloud Platform,Devops,GPU,Jenkins,MLOps,Aws Cloud,Ci/Cd,ML"
Sr. ML Engineer,"Pune, Maharashtra, Thiruvananthapuram, Kerala",ALLIANZ SERVICES PRIVATE LIMITED,"ML Development,Production,Model managment,Model monitoring,Devops,Development,Monitoring,Ml"
ML Engineer,Hyderabad,"Qualcomm Technologies, Inc","Wireless,Computer science,C++,Data modeling,Coding,Machine learning,Business intelligence,Principal"
ML Engineer,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Miracle Solution,"Networking,Data modeling,Machine learning,Manager Technology,Technology,Modeling,Management,Ml"
ML Engineer (Fraud Detection) - Immd JOiner - BGL or Chennai,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Decision Minds,"Frauid Mgt,PyTorch,Pandas,Machine Learning,Python,Tensor Flow,Numpy,Machine"
Databricks ML Engineer,"Hybrid - Hyderabad, Pune, Maharashtra, Bengaluru, Karnataka",KPI Partners,"python,spark,databricks,Machine Learning,sql,Data Bricks,Machine,Ml"
